"stockid","stockid_ramldb","common_name","species","species_orig","order","family","family_common","type","type1","country","region","area","source","comments","method","ssb_units","r_units","landings_units","f_age_vpa","r_age_vpa","r_age_vpa1","feed_type","egg_type","egg_diam","length_at_hatch","length_at_metamorph","deltaL","deltaN","spawn_location","spawn_lat_dm","spawn_long_dm","spawn_month","natmort","f01","fmax","fmed","sprf0","source_mat","lmat","lmat_m","lmat_f","tmat","tmat_m","tmat_f","r_length","r_age","r_age_m","r_age_f","source_growth","linf_in","k","t0","linf_in_m","k_m","t0_m","linf_in_f","k_f","t0_f","source_lw_ab","lw_a","lw_b","lw_a_m","lw_b_m","lw_a_f","lw_b_f","ssb_nyr","r_nyr","sr_nyr"
"ASALPGBRLRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Pinchgut Brook, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 13.","Counting fence","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48 50","-58 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0
"ASALPOLL",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Pollett River, Canada","Elson, P. F. 1975. Atlantic salmon rivers smolt production and optimal spawning, an overview of natural production.  International Atlantic Salmon Foundation Special Publication Series 6: 96-119.",NA,"Count","Thousands of eggs","Number of Smolts",NA,NA,"2.5",2.5,NA,NA,NA,NA,NA,NA,NA,NA,"46 00","-65 05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8
"ASALREST",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Restigouche River, Canada","Chadwick, E. M. P., and R. G. Randall. 1983. Assessment of the Restigouche River salmon stock in 1882. CAFSAC Res. Doc. 83/30: 20 p.",NA,"Count","Number angled large salmon","Number small parr / 100 m^2",NA,NA,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,"47 58","-66 55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11
"ASALRR",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Rocky River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 7, page 35.","Count","Number of smolts","Number of small salmon",NA,NA,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,"47 13","-53 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"ASALRR2",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Rocky River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 12, page 40.","Count","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47 13","-53 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0
"ASALRR2LRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Rocky River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 13.","Count","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47 13","-53 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0
"ASALSAHLLG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Samd Hill River, Labrador, Canada","Reddin, D.G., P.B. Short, and M.F.OConnell. 1995. Atlantic Salmon Stock Status for Sand Hill River, Labrador.  DFO Atlantic Fisheries Research Document. 96/82.","taken from table 8","Counting fences","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53 80","-56 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0
"ASALSAHLSM",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Samd Hill River, Labrador, Canada","Reddin, D.G., P.B. Short, and M.F.OConnell. 1995. Atlantic Salmon Stock Status for Sand Hill River, Labrador.  DFO Atlantic Fisheries Research Document. 96/82.","taken from table 8","Counting fences","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53 80","-56 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0
"ASALSHEBD1",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Europe","Scotland","Shelligan Burn, Section D, Scotland","Gardiner, R., and P. Shackley. 1991. Stock and recruitment and inversely density-dependent growth of salmon, {\it Salmo salar} L., in a Scottish stream. J. Fish. Bio. (1991) 38: 691-696.",NA,"Count","Numbers of fry per m^2","Numbers of 1 year olds per m^2",NA,NA,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,"56 30","-3 45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6
"ASALSHEBD2",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Europe","Scotland","Shelligan Burn, Section D, Scotland","Gardiner, R., and P. Shackley. 1991. Stock and recruitment and inversely density-dependent growth of salmon, {\it Salmo salar} L., in a Scottish stream. J. Fish. Bio. (1991) 38: 691-696.",NA,"Count","Numbers of fry per m^2","Numbers of 2 year olds per m^2",NA,NA,"2",2,NA,NA,NA,NA,NA,NA,NA,NA,"56 30","-3 45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5
"ASALTNRLW",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Terra Nova River, Lower fishway, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 12, page 40.","Count","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48 40","-54 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0,0
"ASALTNRLWLRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Terra Nova River, Lower fishway, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 13.","Count","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48 40","-54 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0,0
"ASALTNRUP",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Terra Nova River, Upper fishway, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 12, page 40.","Count","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48 40","-54 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,0
"ASALTNRUPLRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Terra Nova River, Upper fishway, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 13.","Count","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48 40","-54 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,0
"ASALTOB",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Tobique River, Canada","Watt, W. D., and G. H. Penney. 1980. Juvenile salmon survival in the Saint John River System. Can. Tech. Rep. Fish. Aquat. Sci. 936: 13 p.","REC includes actual returns of adults to Mactaquac Dam plus estimates of fish taken by poachers and various fisheries.","Count","Thousands of eggs","Number of Adults",NA,NA,"4",4,NA,NA,NA,NA,NA,NA,NA,NA,"46 48","-69 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9
"ASALTOBI1SW",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Tobique River, N.B., Canada","Marshall, T.L., and R. Jones. 1995. Status of Atlantic salmon stocks of the Saint John River and southwest New Brunswick.","DFO Atlantic Fisheries Research Document. 96/40.","Counting fences","eggs/100m^2","number of 1SW salmon",NA,NA,"5",5,NA,NA,NA,NA,NA,NA,NA,NA,"47 00","-67 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,26,21
"ASALTOBIMSW",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Tobique River, N.B., Canada","Marshall, T.L., and R. Jones. 1995. Status of Atlantic salmon stocks of the Saint John River and southwest New Brunswick.","DFO Atlantic Fisheries Research Document. 96/40.","Counting fences","eggs/100m^2","number of MSW salmon","recruits + Nfld + Grnld",NA,"6",6,NA,NA,NA,NA,NA,NA,NA,NA,"47 00","-67 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,25,21
"ASALTORR",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Torrent River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 12, page 40.","Count","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50 40","-57 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,0
"ASALTORRLRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Torrent River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 13.","Count","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50 40","-57 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,0
"ASALTRI",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Trinite, Canada","Caron, F. 1992. Relation entre le nombre d'oeufs d\'{e}pos\'{e}s et la production de saumonneaux dans les Rivi\`{e}res de la Trinit\'{e} et Bec-Scie. CAFSAC Res. Doc. 92/125: 23 p.",NA,"Count","Number of Eggs","Number of Smolt",NA,NA,"3",3,NA,NA,NA,NA,NA,NA,NA,NA,"49 15","-67 15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,8,8
"ASALWARM",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Western Arm Brook, Canada","Chaput, G., C. Mullins, and E. M. P. Chadwick. 1992. Stock-recruit relationship for Atlantic salmon from Western Arm Brook, Newfoundland. CAFSAC Res. Doc. 92/123: 13 p.","data from table 1, page 6.","Count","Number of fish","Number of fish",NA,NA,"6",6,NA,NA,NA,NA,NA,NA,NA,NA,"51 00","-57 05",NA,"2.5",NA,NA,NA,"1.089",NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,16
"ASALWARMSMGR",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Western Arm Brook, Canada","OConnell, M.F, D.G. Reddin, and C.C. Mullins. Status of Atlantic Salmon ({\em Salmo salar} L.) in Eight Rivers in the Newfoundland Region, 1995. DFO Atlantic Fisheries 96/106.","data from table 10, page 28, and table 11, page 29. Grilse are Atlantic salmon that return from the sea after only one year. See ALSAWABRSMSA for the data on multi year salmon.","Count","Number of Smolt","Number of Grilse",NA,NA,"approx. 5",5,NA,NA,NA,NA,NA,NA,NA,NA,"51 00","-57 05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,23,23
"ASALWARMSMO",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Western Arm Brook, Canada","Chaput, G., C. Mullins, and E. M. P. Chadwick. 1992. Stock-recruit relationship for Atlantic salmon from Western Arm Brook, Newfoundland. CAFSAC Res. Doc. 92/123: 13 p.","data from table 1, page 6.","Count","Number of Adult","Number of Smolt",NA,NA,"approx. 4",4,NA,NA,NA,NA,NA,NA,NA,NA,"51 00","-57 05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,15,15
"ASALWARMSMSA",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Western Arm Brook, Canada","OConnell, M.F, D.G. Reddin, and C.C. Mullins. Status of Atlantic Salmon ({\em Salmo salar} L.) in Eight Rivers in the Newfoundland Region, 1995. DFO Atlantic Fisheries 96/106.","data from table 10, page 28, and table 11, page 29. The recrit data is for salmon that remain in the sea for more than one winter, i.e. multi-seawinter salmon. Grilse are Atlantic salmon that return from the sea after only one year. See ALSAWABRSMGA for the data on grilse.","Count","Number of Smolt","Number of Large Salmon",NA,NA,"approx. 6",6,NA,NA,NA,NA,NA,NA,NA,NA,"51 00","-57 05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,23,23
"ASHADCON",NA,"Anadromous american shad","Alosa sapidissima","Alosa sapidissima","Clupeiformes","Clupeidae","Herrings","anadromous","finfish","USA","US East Coast","Connecticut River","Savoy, T. J., and V. A. Crecco. 1988. The timing and significance of density-dependent and density-independent mortality of American shad, {\it Alosa sapidissima}. Fish. Bull. 86: 467-482.","replacement value calculated under assumption of no turbine mortality or catch at sea. The last assumption will cause the slope at the origin to be underestimated. We also ignore growth in the calculation KGPRECF0.","MR/Count","Thousands","Thousands",NA,NA,"4",4,NA,NA,NA,NA,NA,NA,NA,NA,"43 55","-72 15",NA,"0.33",NA,NA,NA,"3.55745",NA,NA,NA,NA,"4.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,16,16
"ASHADHUD",NA,"Anadromous american shad","Alosa sapidissima","Alosa sapidissima","Clupeiformes","Clupeidae","Herrings","anadromous","finfish","USA","US East Coast","Connecticut River","The YOY index is the mean catch per haul using a 100-ft beach seine; this index is done by the New York State Department of Environmental Conservation, Hudson River Fisheries Unit, New Paltz, New York.  Contact person: Katherine Hattala. These notes are written by K. Limburg",NA,"Beach seine","Index of post yolk-sac larvae","Catch per haul",NA,NA,"0.9",0.9,NA,NA,NA,NA,NA,NA,NA,NA,"43 55","-72 15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASHADHUDLARVAE",NA,"Anadromous american shad","Alosa sapidissima","Alosa sapidissima","Clupeiformes","Clupeidae","Herrings","anadromous","finfish","USA","US East Coast","Connecticut River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATKAALI","ATKABSAI","Atka mackerel","Pleurogrammus monopterygius","Pleurogrammus monopterygius","Scorpaeniformes","Hexagrammidae","Greenlings","marine","finfish","USA","US Alaska","Eastern Bering Sea and Aleutian Islands","S. A. Lowe and L. W. Fritz.  1997. Atka Mackerel in Stock assessment and fishery evaluation report for the groundfish resources of the Bering Sea/Aleutian Islands regions. North Pacific Fishery Management Council.  pp 406-461",NA,"SPA","Thousand tonnes","Billions","Tonnes","5-7","2",2,NA,NA,NA,NA,NA,NA,NA,"Shallow coastal waters","52 00","176 00","06-10","0.3",NA,NA,NA,"0.71",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"41.4","0.439","-0.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,17,17
"AYUBIWA",NA,"Ayu","Plecoglossus altivelis altivelis","Plecoglossus altivelis","Salmoniformes","Plecoglossidae","Ayu","freshwater","finfish","Asia","Japan","Lake Biwa, Japan","Suzuki, N., and T. Kitahara. 1996. Relation of recruitment to the number of caught juveniles in the ayu population of Lake Biwa.  Fisheries Science 62(1): 15-20.",NA,"SPA","Hundreds of millions","Hundreds of millions",NA,"0.42-1","0.42",0.42,NA,NA,NA,NA,NA,NA,NA,NA,"35 00","136 00",NA,"2.5",NA,NA,NA,"0.45",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,12
"BCROAECS",NA,"Black croaker","Atrobucca nibe","Argyrosomus nibe","Perciformes","Sciaenidae","Drums and croakers","marine","finfish","Asia","China","East China Sea","Saishu, K. 1968. Reproductive curve of the stock of {\it Argyrosomus nibe}, Kuroguchi, in the East China Sea. Jap. J. Ecol. 18: 32-39.","Table 1 and 2.","CPUE","Index","Index",NA,NA,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,"29 00","123 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13
"BDUCK",NA,"Bombay duck","Harpadon nehereus","Harpodon nehereus","Aulopiformes","Synodontidae","Lizardfishes","marine","finfish","Asia","India","Northwest coast of India","Fernandez, I and M. Devaraj. 1996. Dynamics of the Bombay duck ({\em Harpodon nehereus}) stock along the northwest coast of India. Indian J. Fish. 43: 1-11.",NA,"CPUE","Millions","Millions","Tonnes","0-4","0",0,NA,NA,NA,NA,NA,NA,NA,NA,"19 30","72 30",NA,"1.1",NA,NA,NA,"1",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,"27 cm","1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,29,29
"BHERCHO",NA,"Blueback herring","Alosa aestivalis","Alosa aestivalis","Clupeiformes","Clupeidae","Herrings","anadromous","finfish","USA","US East Coast","Chowan River, USA","Crecco, V.A. and M. Gibson. 1990. Stock assessment of river herring from selected Atlantic Coast Rivers. Special Report No. 19. of the Atlantic States Marine Fisheries Commission.",NA,"Count","Thousand pounds","Thousands",NA,NA,"3",3,NA,NA,NA,NA,NA,NA,NA,NA,"36 01","-76 40",NA,"1.0",NA,NA,NA,"0.307",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,17
"BHERCON",NA,"Blueback herring","Alosa aestivalis","Alosa aestivalis","Clupeiformes","Clupeidae","Herrings","anadromous","finfish","USA","US East Coast","Connecticut River, USA","Crecco, V.A. and M. Gibson. 1990. Stock assessment of river herring from selected Atlantic Coast Rivers. Special Report No. 19. of the Atlantic States Marine Fisheries Commission.",NA,"Count","Thousand pounds","Thousands",NA,NA,"3",3,NA,NA,NA,NA,NA,NA,NA,NA,"43 55","-72 15",NA,"1.0",NA,NA,NA,"0.307",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,19
"BHERSTJON",NA,"Blueback herring","Alosa aestivalis","Alosa aestivalis","Clupeiformes","Clupeidae","Herrings","anadromous","finfish","USA","US East Coast","Saint John River","Jessop, B. M. 1990. Stock-recruitment relationships of alewives and blueback herring returning to the Mactaquac Dam, Saint John River, New Brunswick. North American Journal of Fisheries Management 10: 19-32.","return to Mactaquac Dam on the Saint John River","Count","Thousands","Thousands",NA,NA,"3",3,NA,NA,NA,NA,NA,NA,NA,NA,"45 55","-66 52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,14,14
"BHERSTJON2",NA,"Blueback herring","Alosa aestivalis","Alosa aestivalis","Clupeiformes","Clupeidae","Herrings","anadromous","finfish","USA","US East Coast","Saint John River","Crecco, V.A., and M. Gibson. 1990. Stock assessment of river herring from selected Atlantic coast rivers. Special Report No. 19 of the Atlantic States Marine Fisheries Commission.","return to Mactaquac Dam on the Saint John River","Count","Thousands of lbs.","Thousands",NA,NA,"3",3,NA,NA,NA,NA,NA,NA,NA,NA,"45 55","-66 52",NA,"1.0",NA,NA,NA,".307",NA,NA,NA,NA,"4.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14
"BIGEYEATLANTIC","BIGEYEATL","Bigeye tuna","Thunnus obesus","Thunnus obesus","Perciformes","Scombridae","Mackerels and tunas","marine","finfish","Atlantic Ocean","West Atlantic","West Atlantic","INTERNATIONAL COMMISSION FOR THE CONSERVATION OF ATLANTIC TUNA, 1996 assessment","batch spawning in which spawning takes place almost every day","SPA","Tonnes","Thousands","Tonnes",NA,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,"-20 00","-40 00",NA,"0.4","0.25","0.36",NA,"15.5",NA,"100 cm",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,36,35
"BIGEYEEPACIFIC","BIGEYEEPAC","Bigeye tuna","Thunnus obesus","Thunnus obesus","Perciformes","Scombridae","Mackerels and tunas","marine","finfish","Pacific Ocean","East Pacific","East Pacific","ASSESSMENT STUDIES OF BIGEYE TUNA IN THE EASTERN PACIFIC OCEAN. INTER-AMERICAN TROPICAL COMMISSION. Background paper 5.  58th meeting of the IATTC.  1997",NA,"SPA","Thousands tonnes","Thousands","Number of fish",NA,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,"-10 00","-125 00",NA,"0.6",NA,NA,NA,"22",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,26
