"stockid","order","family","species","common_name","type","country","region","area","year","ssb","r","tl","f","ssb_units","r_units","tl_units","r_age","r_age1","m","sprf0"
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1952,NA,NA,0.2,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1953,NA,NA,0.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1954,NA,NA,9.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1955,NA,NA,8.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1956,NA,NA,7,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1957,NA,NA,8.8,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1958,NA,NA,18.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1959,NA,0.9,17.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1960,NA,1.14,22.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1961,NA,1.54,24,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1962,0.74,1.25,35,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1963,0.73,1.24,30.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1964,0.74,1.29,22.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1965,0.81,1.36,24.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1966,0.9,1.28,32.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1967,0.96,1.32,40.7,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1968,1.04,1.3,29,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1969,1.13,1.24,24.6,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1970,1.2,1.28,31.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1971,1.26,1.6,34,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1972,1.3,1.21,34.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1973,1.32,1.16,38,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1974,1.35,0.84,32,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1975,1.37,0.91,28.2,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1976,1.38,1.28,28.2,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1977,1.35,0.15,37.8,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1978,1.3,0.91,36.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1979,1.26,0.86,27,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1980,1.18,0.77,40.1,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1981,1.1,0.65,35.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1982,1.02,0.49,32.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1983,0.95,0.75,25.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1984,0.9,0.9,25.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1985,0.83,0.94,34,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1986,0.78,0.87,39.4,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1987,0.76,0.6,32,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1988,0.75,0.93,40.1,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1989,0.75,0.95,52.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1990,0.7,0.5,35,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1991,0.71,NA,28.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1992,0.74,NA,33.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1993,0.69,NA,31.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1994,NA,NA,35,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALBASPAC","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","marine","Pacific Ocean","Pacific Ocean","South Pacific Ocean",1995,NA,NA,41.5,NA,"Index","Index","Thousand tonnes","3",3,NA,NA
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1945,20.8,221.3,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1946,21.2,392.5,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1947,31.4,302.9,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1948,27.8,334.5,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1949,17.6,330.5,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1950,17.1,330.3,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1951,38,445,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1952,37.2,412.1,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1953,35.4,473.7,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1954,38,324.1,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1955,38,356.6,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1956,89.6,350.5,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1957,29.4,236,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1958,33.4,177.3,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1959,27.9,182.3,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1960,54.3,234.9,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1961,36.4,345.4,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1962,66.2,299.6,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1963,28.7,301.6,NA,",","Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1964,31.7,299.8,NA,",","Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1965,39.1,208.9,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1966,21.5,119.4,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1967,19.2,120.3,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1968,35.7,117,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1969,38.5,65.8,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1970,34.3,59.8,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1971,33.3,49.9,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1972,30,34.4,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1973,21.5,35.7,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1974,8.3,28.2,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1975,7.7,27.2,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1976,16.2,19.7,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1977,14.9,34.2,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1978,8.8,33.2,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1979,9.3,24.1,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1980,10.4,19.8,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1981,12.3,25.3,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1982,0.4,70.8,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1983,0.4,70.8,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1984,1.1,108.8,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1985,1.2,118.2,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1986,1.3,102.7,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1987,9.2,103.2,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1988,12.8,135.6,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWANN","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Annaquatucket River, USA",1989,29.3,121.9,NA,NA,"Thousand pounds","Thousands",NA,"3",3,"1.0","0.33"
"ALEWDAM","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US Maine","Damariscotta Lake, Maine",1977,1.4,16365,NA,NA,"Billions of eggs","Thousands of fish",NA,"0.3",0.3,NA,NA
"ALEWDAM","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US Maine","Damariscotta Lake, Maine",1978,3.2,14823,NA,NA,"Billions of eggs","Thousands of fish",NA,"0.3",0.3,NA,NA
"ALEWDAM","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US Maine","Damariscotta Lake, Maine",1979,0.8,14777,NA,NA,"Billions of eggs","Thousands of fish",NA,"0.3",0.3,NA,NA
"ALEWDAM","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US Maine","Damariscotta Lake, Maine",1980,2.1,10082,NA,NA,"Billions of eggs","Thousands of fish",NA,"0.3",0.3,NA,NA
"ALEWDAM","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US Maine","Damariscotta Lake, Maine",1981,4.5,15823,NA,NA,"Billions of eggs","Thousands of fish",NA,"0.3",0.3,NA,NA
"ALEWDAM","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US Maine","Damariscotta Lake, Maine",1982,4.1,14991,NA,NA,"Billions of eggs","Thousands of fish",NA,"0.3",0.3,NA,NA
"ALEWDAM","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US Maine","Damariscotta Lake, Maine",1983,1.4,16522,NA,NA,"Billions of eggs","Thousands of fish",NA,"0.3",0.3,NA,NA
"ALEWDAM","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US Maine","Damariscotta Lake, Maine",1984,2.2,14477,NA,NA,"Billions of eggs","Thousands of fish",NA,"0.3",0.3,NA,NA
"ALEWDAMR","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Damariscotta River",1949,304.1,2236.1,NA,NA,"Thousands of lbs.","Thousands",NA,"3",3,"1.0",".33"
"ALEWDAMR","Clupeiformes","Clupeidae","Alosa pseudoharengus","Anadromous alewife","anadromous","USA","US East Coast","Damariscotta River",1950,401,1516.2,NA,NA,"Thousands of lbs.","Thousands",NA,"3",3,"1.0",".33"
